N,h,k,energy
4,2.0,0.03157894736842105,-32.77374009161035 - 3.899658373995862e-15im
4,2.0,0.0631578947368421,-32.73838708735089 - 4.107825191113079e-15im
4,2.0,0.09473684210526315,-32.67884003779998 - 5.711577044653637e-15im
4,2.0,0.1263157894736842,-32.594083297992896 + 1.132774429812855e-15im
4,2.0,0.15789473684210525,-32.48251386408054 + 2.6256774532384952e-14im
4,2.0,0.1894736842105263,-32.34168203542185 - 3.151645611154663e-14im
4,2.0,0.22105263157894736,-32.16777853501982 - 1.299047674985232e-14im
4,2.0,0.25263157894736843,-31.954505286043606 - 3.293892936184761e-14im
4,2.0,0.28421052631578947,-31.690073168391322 - 1.4425960426223128e-14im
4,2.0,0.3157894736842105,-31.34581149471177 - 2.5993963925774466e-14im
4,2.0,0.34736842105263155,-30.681088195603433 + 4.2306210544865164e-5im
4,2.0,0.37894736842105264,-30.456757827949055 + 0.5905297165346415im
4,2.0,0.41052631578947363,-30.219800255688746 + 0.8508662168807657im
4,2.0,0.44210526315789467,-29.977745758979086 + 1.1074059642381542im
4,2.0,0.4736842105263158,-29.71995096779877 - 1.3651582051033917im
4,2.0,0.5052631578947369,-29.451472542659832 + 1.6354807104809224im
4,2.0,0.5368421052631579,-29.178451926243834 - 1.9226947735174003im
4,2.0,0.5684210526315789,-28.905862125227273 + 2.2264132268454704im
4,2.0,0.6,-28.636038370013107 - 2.5442608825341857im
