h,k,r,M_z,c_r_z,cc_r_z
2.75,0.25,0,-0.24065041542053223,1.0,0.9420781263288518
2.75,0.25,1,-0.24065041542053223,0.1424272060394287,0.08451402553146181
2.75,0.25,2,-0.24065041542053223,0.0750722885131836,0.01715976760533522
2.75,0.25,3,-0.24065041542053223,0.06206099192301432,0.004148300719558999
2.75,0.25,4,-0.24065041542053223,0.05923325674874442,0.001320596103531508
2.75,0.25,5,-0.24065041542053223,0.058413426081339516,0.0005013058592642968
2.75,0.25,6,-0.24065041542053223,0.0581740140914917,0.0002618426760818693
2.75,0.25,7,-0.24065041542053223,0.0579221248626709,1.0544703400228173e-05
2.75,0.25,8,-0.24065041542053223,0.05821657180786133,0.0003021765805897303
0.5,1.0,0,-0.7022404670715332,1.0,0.5068563391905627
0.5,1.0,1,-0.7022404670715332,0.9555730819702148,0.46243095304271264
0.5,1.0,2,-0.7022404670715332,0.9551043510437012,0.4619626292023895
0.5,1.0,3,-0.7022404670715332,0.9551011721293131,0.46195950186362705
0.5,1.0,4,-0.7022404670715332,0.9550970622471401,0.46195539567010463
0.5,1.0,5,-0.7022404670715332,0.9551107088724772,0.46196910763925797
0.5,1.0,6,-0.7022404670715332,0.9550914764404297,0.4619500781855095
0.5,1.0,7,-0.7022404670715332,0.9550955295562744,0.4619540893472731
0.5,1.0,8,-0.7022404670715332,0.9551191329956055,0.46197751124418573
