h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err,M_z_LR,M_z_LR_err,c_r_z_LR,c_r_z_LR_err,cc_r_z_LR,cc_r_z_LR_err
2.75,0.25,0,(0.0005130767822265625+0j),0.0008403874935697959,(1+0j),,(0.9999889682221692+0j),(4.028217793491492e-06+0j),(0.0010773932793822153+0.2746678584096366j),0.0011507142217426483,(0.9999999896922581+9.483472659269737e-09j),(0.0010214598776558475+0j),(1.075430942828423-0.0005941909760357275j),(0.0009184877125594132+8.564911988344034e-07j)
2.75,0.25,1,(0.0005130767822265625+0j),0.0008403874935697959,(0.10308456420898438+0j),(0.0003544036273488509+0j),(0.1030823248802335+0j),(0.0003544091109704291+0j),(0.0010773932793822153+0.2746678584096366j),0.0011507142217426483,(0.04527640539236233-8.407168443510076e-05j),(0.0005809700593719612+0j),(0.12071595356170077-0.0006755996170425164j),(0.0005362701407451107+3.6680216395678167e-07j)
2.75,0.25,2,(0.0005130767822265625+0j),0.0008403874935697959,(0.032306035359700516+0j),(0.00028799705774688666+0j),(0.03230625523913962+0j),(0.0002880015568489534+0j),(0.0010773932793822153+0.2746678584096366j),0.0011507142217426483,(-0.03455473076563457-0.00010265468624969589j),(0.0004744135528227159+0j),(0.04088683247972155-0.0006955095675526494j),(0.00043792065412630684+2.9942807520689027e-07j)
2.75,0.25,3,(0.0005130767822265625+0j),0.0008403874935697959,(0.016475677490234375+0j),(0.00035471978951212574+0j),(0.01647768721159082+0j),(0.0003547252147387901+0j),(0.0010773932793822153+0.2746678584096366j),0.0011507142217426483,(-0.05359854898820338+0.0004690766916921951j),(0.0005809073991713745+0j),(0.021843240666767478-0.00012195318566311677j),(0.0005362021631348286+3.668639729876584e-07j)
2.75,0.25,4,(0.0005130767822265625+0j),0.0008403874935697959,(0.008754730224609375+0j),(0.0007080879926256976+0j),(0.00876114919083193+0j),(0.0007080993094296361+0j),(0.0010773932793822153+0.2746678584096366j),0.0011507142217426483,(-0.06237763337980695-0.0002649575000118692j),(0.0011616586852180877+0j),(0.013077029387577335-0.0008530062636459973j),(0.0010722355060015642+7.339880644993815e-07j)
0.5,1.0,0,(0.9749269485473633+0j),0.00021955875153975685,(1+0j),,(0.04951670845912304+0j),(0.0003027112769634755+0j),(0.9857623547295313+0.020015474588785984j),0.00039075626615217503,(1.000000008190516+7.149597264196903e-09j),(0.00037821520039600637+0j),(0.028673354970728107-0.03946029942239228j),(0.000663138694577114+9.086590046162472e-06j)
0.5,1.0,1,(0.9749269485473633+0j),0.00021955875153975685,(0.9508228302001953+0j),(0.00015164616634640978+0j),(0.00034044494532281533+0j),(0.00021425738687871104+0j),(0.9857623547295313+0.020015474588785984j),0.00039075626615217503,(0.971027056302573+0.03923355578455799j),(0.00020173153519317664+0j),(-0.00029974657664713286-0.00022768151917187485j),(0.0003389271216495851+4.444212105434985e-06j)
0.5,1.0,2,(0.9749269485473633+0j),0.00021955875153975685,(0.9504737854003906+0j),(0.00012454064495506323+0j),(-8.817252819426358e-06+0j),(0.0001754520756982977+0j),(0.9857623547295313+0.020015474588785984j),0.00039075626615217503,(0.9713296275162282+0.03947224649954717j),(0.0001645988661439535+0j),(2.864510762775237e-06+1.1284559879320066e-05j),(0.00027666477786589776+3.6296871704094007e-06j)
0.5,1.0,3,(0.9749269485473633+0j),0.00021955875153975685,(0.9504489898681641+0j),(0.00015252003305249624+0j),(-3.347360325278714e-05+0j),(0.00021487699059479211+0j),(0.9857623547295313+0.020015474588785984j),0.00039075626615217503,(0.9713388800301079+0.039489659704729695j),(0.00020158720382347183+0j),(1.1990442281124836e-05+2.862482471732372e-05j),(0.0003388411297546491+4.445440215306684e-06j)
0.5,1.0,4,(0.9749269485473633+0j),0.00021955875153975685,(0.9504718780517578+0j),(0.00030935353277110745+0j),(-1.0699644917622209e-05+0j),(0.0004328207756341103+0j),(0.9857623547295313+0.020015474588785984j),0.00039075626615217503,(0.9713208211795183+0.03948134528454611j),(0.0004031908634062832+0j),(-5.990162049732128e-06+2.0468656047136803e-05j),(0.0006776920269673544+8.890909682840382e-06j)
