h,k,r,M_z,c_r_z,cc_r_z,M_z_LR,c_r_z_LR,cc_r_z_LR
2.75,0.25,0,0.0011146068572998047,1.0,0.9999876038527873,(0.0032913695683613135-0.2720133956152339j),(0.9999999697748713-2.4120341340645102e-08j),(1.0739740853391744+0.0018167070458925388j)
2.75,0.25,1,0.0011146068572998047,0.09937572479248047,0.09937251129849756,(0.0032913695683613135-0.2720133956152339j),(0.039308536968526306+3.0116504654514474e-05j),(0.11328557602204486+0.001835460133893947j)
2.75,0.25,2,0.0011146068572998047,0.022023677825927734,0.02202282617236051,(0.0032913695683613135-0.2720133956152339j),(-0.04867096594284161-0.0012251069862891971j),(0.025307989530376638+0.0005706296024952298j)
2.75,0.25,3,0.0011146068572998047,0.005721648534138997,0.005721273301484568,(0.0032913695683613135-0.2720133956152339j),(-0.06853059897748828-0.0013331206370398793j),(0.005449717352559395+0.00045944107226702065j)
2.75,0.25,4,0.0011146068572998047,0.0021493094308035715,0.0021481980329554062,(0.0032913695683613135-0.2720133956152339j),(-0.07274083431873403-0.0013441232139865353j),(0.001237169689158558+0.0004443280781912944j)
2.75,0.25,5,0.0011146068572998047,0.0008067289988199869,0.0008068322543598091,(0.0032913695683613135-0.2720133956152339j),(-0.07485375999326566-0.0012114845967330812j),(-0.0008718189037067242+0.0005719489589191646j)
2.75,0.25,6,0.0011146068572998047,0.00022852420806884766,0.0002269693086418556,(0.0032913695683613135-0.2720133956152339j),(-0.07536800510296224-0.0012001640952395208j),(-0.0013813647236493168+0.0005903652142048739j)
2.75,0.25,7,0.0011146068572998047,5.7220458984375e-06,2.8702452254947275e-06,(0.0032913695683613135-0.2720133956152339j),(-0.0760637786907278-0.0011354520831775477j),(-0.002085861440346386+0.0006542526129760124j)
2.75,0.25,8,0.0011146068572998047,-5.8650970458984375e-05,-6.342822598526254e-05,(0.0032913695683613135-0.2720133956152339j),(-0.0741578531736383-0.0015203065303714572j),(-0.00016663196793560383+0.00024034694786254367j)
0.5,1.0,0,-0.9748597145080566,1.0,0.04964775835105684,(-0.9855211073317833-0.020179589169724326j),(1.0000000037098968+1.3465151359396416e-08j),(0.029155431338578834-0.0397740799671064j)
0.5,1.0,1,-0.9748597145080566,0.9506363868713379,0.0002848907042789506,(-0.9855211073317833-0.020179589169724326j),(0.9705786024755658+0.03956764393546307j),(-0.00026606929508330487-0.00020714026236393562j)
0.5,1.0,2,-0.9748597145080566,0.9503351449966431,-1.620600960450247e-05,(-0.9855211073317833-0.020179589169724326j),(0.970851383030917+0.03979470217604311j),(6.687478873574921e-06+1.9747790532664394e-05j)
0.5,1.0,3,-0.9748597145080566,0.9503419399261475,-9.46727474608148e-06,(-0.9855211073317833-0.020179589169724326j),(0.9708574630480162+0.0397748798805244j),(1.2826694955846846e-05-1.5150611642055738e-08j)
0.5,1.0,4,-0.9748597145080566,0.9503410884312221,-1.0399127599417365e-05,(-0.9855211073317833-0.020179589169724326j),(0.9708568302221705+0.03978049762102237j),(1.2231493594989976e-05+5.686842006095988e-06j)
0.5,1.0,5,-0.9748597145080566,0.9503534634908041,1.953225970889131e-06,(-0.9855211073317833-0.020179589169724326j),(0.9708472902983045+0.03976763507243254j),(2.6668465880920014e-06-7.1247630074779275e-06j)
0.5,1.0,6,-0.9748597145080566,0.9503371715545654,-1.4270654901338276e-05,(-0.9855211073317833-0.020179589169724326j),(0.9708617276415732+0.039772204968148456j),(1.7050573516871805e-05-2.5886605125451e-06j)
0.5,1.0,7,-0.9748597145080566,0.9503555297851562,4.076564437127672e-06,(-0.9855211073317833-0.020179589169724326j),(0.9708544865780826+0.0397696984504882j),(9.846036622064742e-06-5.133217484671758e-06j)
0.5,1.0,8,-0.9748597145080566,0.9503908157348633,3.9405946154147387e-05,(-0.9855211073317833-0.020179589169724326j),(0.9708380176355615+0.039719800974356206j),(-6.45928044839747e-06-5.5064909713110465e-05j)
