ks,hs,E_ED,Infidelity
0.1,2.5,(-22.697692174346894+1.199352574229373e-16j),1.2703719478749216e-07
0.24736842105263157,2.5,(-22.55381783166422-3.5126198646357075e-15j),1.5769449339904482e-07
0.39473684210526316,2.5,(-22.28243237766144-2.7306676489036856e-15j),2.850314975781356e-07
0.5421052631578946,2.5,(-21.872501467050697-4.159254845971298e-15j),4.5003433507374863e-07
0.6894736842105262,2.5,(-21.30397264794967-8.038148991744348e-15j),4.901391033983689e-07
0.8368421052631578,2.5,(-20.53939370838887+9.919199749487137e-15j),5.519363133155506e-07
0.9842105263157893,2.5,(-19.496159172629064-1.4983309206305182e-14j),1.2927722377316132e-06
1.131578947368421,2.5,(-17.839657290668526-1.8246451659897255e-14j),2.2858853492529233e-06
1.2789473684210526,2.5,(-15.995479507764827-1.4991154036504497j),3.1649950260747068e-06
1.4263157894736842,2.5,(-14.92258468410365-2.9944123346508356j),5.027288550262648e-06
2.3105263157894735,2.5,(-10.777102383671496+11.66446158203322j),3.4558855712500205e-06
1.5736842105263158,2.5,(-14.03527241024644+4.419652973251948j),5.326387676596675e-06
2.163157894736842,2.5,(-11.324814362083375+10.195493959880165j),3.437973316374901e-06
2.457894736842105,2.5,(-10.26719297014356+13.145196153817572j),2.614003286785736e-06
1.8684210526315788,2.5,(-12.555196144437234-7.291493554166744j),3.822670013644981e-06
1.7210526315789474,2.5,(-13.25483624029682+5.8534966259771855j),4.155099909319308e-06
2.0157894736842104,2.5,(-11.915218996103025+8.738003424002695j),3.9879499825448385e-06
2.6052631578947367,2.5,(-9.791897544292322-14.637788666401821j),4.465974262993266e-06
2.7526315789473683,2.5,(-9.3492649042126+16.141950893579736j),2.194259354532014e-06
2.9,2.5,(-8.938170661898003-17.65691786281677j),2.9821531411476092e-06
